Date,Close,Volume
10/16/2017,143.75,2001900
10/17/2017,143.429993,2435600
10/18/2017,143.440002,1734100
10/19/2017,143.619995,2623100
10/20/2017,145.350006,3369500
10/23/2017,145.919998,2892200
10/24/2017,146.119995,3319200
10/25/2017,145.990005,2780400
10/26/2017,145.839996,2146700
10/27/2017,146.199997,1869500
10/30/2017,144.639999,1805600
10/31/2017,144.160004,2443200
11/1/2017,144.929993,2161700
11/2/2017,145.410004,1944200
11/3/2017,144.970001,1423700
11/6/2017,145.600006,2038900
11/7/2017,146.970001,2613900
11/8/2017,146.860001,2514700
11/9/2017,145.440002,2354100
11/10/2017,145.75,2908200
11/13/2017,146.720001,2014100
11/14/2017,147.320007,2311400
11/15/2017,146.369995,2521500
11/16/2017,146.880005,2208900
11/17/2017,146.490005,1637400
11/20/2017,147.940002,3554300
11/21/2017,149.350006,3028200
11/22/2017,148.990005,1815400
11/24/2017,149.660004,1196300
11/27/2017,150.429993,2284600
11/28/2017,152.759995,3656600
11/29/2017,153.240005,3346200
11/30/2017,155.960007,5681100
12/1/2017,154.399994,3013500
12/4/2017,153.770004,3250400
12/5/2017,153.059998,2582500
12/6/2017,153,2896400
12/7/2017,153.279999,2044800
12/8/2017,153.660004,1482400
12/11/2017,153.210007,3623700
12/12/2017,153.740005,2959300
12/13/2017,155.800003,5064200
12/14/2017,153.229996,3141700
12/15/2017,154.25,4293900
12/18/2017,154.589996,3574800
12/19/2017,154.110001,4251300
12/20/2017,154.729996,3582700
12/21/2017,153.720001,4858400
12/22/2017,153.490005,2152000
12/26/2017,153.759995,1407400
12/27/2017,153.949997,1764100
12/28/2017,154.130005,1654100
12/29/2017,153.360001,1669300
1/2/2018,153.710007,2863600
1/3/2018,152.440002,6337600
1/4/2018,154.5,4496500
1/5/2018,155.580002,2479000
1/8/2018,154.740005,2739900
1/9/2018,156.009995,3391800
1/10/2018,157.089996,2562100
1/11/2018,157.919998,2329400
1/12/2018,159.070007,2343600
1/16/2018,157.889999,3422400
1/17/2018,158.410004,3163100
1/18/2018,157.779999,2655800
1/19/2018,158.690002,3765500
1/22/2018,158.539993,3269300
1/23/2018,159.589996,3902400
1/24/2018,159.970001,2654800
1/25/2018,161.839996,4083100
1/26/2018,164.990005,5019800
1/29/2018,161.470001,3669800
1/30/2018,158.970001,3888200
1/31/2018,159.669998,3289900
2/1/2018,159.649994,2753500
2/2/2018,156.649994,4208700
2/5/2018,150.169998,5772200
2/6/2018,151.399994,5319200
2/7/2018,151.190002,3171900
2/8/2018,146.020004,3362600
2/9/2018,147.899994,5405900
2/12/2018,149.470001,3455600
2/13/2018,148.5,2815300
2/14/2018,150.380005,2960300
2/15/2018,153.419998,3635300
2/16/2018,154.029999,2801100
2/20/2018,154.339996,3713800
2/21/2018,154.050003,4054900
2/22/2018,153.309998,2224400
2/23/2018,155.119995,3165500
2/26/2018,156.5,2902900
2/27/2018,153.919998,3098200
2/28/2018,151.110001,3529000
3/1/2018,147.210007,4626300
3/2/2018,148.139999,3403900
3/5/2018,148.509995,3400000
3/6/2018,149.330002,2782900
3/7/2018,150.410004,3984900
3/8/2018,151.229996,2186300
3/9/2018,154.210007,2884600
3/12/2018,152.229996,2415200
3/13/2018,151.5,1885900
3/14/2018,150.419998,2028400
3/15/2018,151.070007,1847800
3/16/2018,151.779999,4329200
3/19/2018,150.199997,2173400
3/20/2018,150.479996,2721100
3/21/2018,151.360001,2589700
3/22/2018,146.880005,2579400
3/23/2018,143.279999,3614500
3/26/2018,146.940002,2245500
3/27/2018,144.339996,3080700
3/28/2018,143.259995,5022200
3/29/2018,144.509995,2573200
4/2/2018,142.429993,4092100
4/3/2018,144.259995,3205700
4/4/2018,144.839996,2769000
4/5/2018,146.399994,2239600
4/6/2018,142.740005,2867900
4/9/2018,142.830002,1952400
4/10/2018,145.630005,2880400
4/11/2018,144.279999,1953100
4/12/2018,146.470001,2327600
4/13/2018,146.119995,1588500
